Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,activation,algorithm,alpha,average,batch_size,beta_1,beta_2,bootstrap,break_ties,cache_size,ccp_alpha,class_weight,coef0,criterion,decision_function_shape,degree,dual,early_stopping,epsilon,eta0,fit_intercept,gamma,hidden_layer_sizes,init,intercept_scaling,kernel,l1_ratio,leaf_size,learning_rate,learning_rate_init,loss,max_depth,max_features,max_fun,max_iter,max_leaf_nodes,max_samples,metric,metric_params,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,momentum,multi_class,n_estimators,n_iter_no_change,n_jobs,n_neighbors,nesterovs_momentum,oob_score,p,penalty,power_t,priors,probability,random_state,shrinking,shuffle,solver,subsample,tol,validation_fraction,var_smoothing,verbose,warm_start,weights,AUC,Accuracy,F1-score,Kappa,MCC,val_Accuracy,val_F1-score,Dataset ID,Dataset Type,model,Run ID,USI,model run id,model run name
2023-04-12 13:07:01,3.6min,ff43965a92d545d18aae4b07867c075e,SD0Q1_0-SVM-RBF,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,40.038815541217716,,,,,,,,,False,200,,None,0.0,,ovr,3,,,,,,auto,,,,rbf,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,True,2010,True,,,,0.001,,,False,,,0.5,0.3489583333333333,0.25868725868725867,0,0,0.663,0.7826,SD0Q1_0,synthetic,rbfsvm,ff43965a92d545d18aae4b07867c075e,662e,,
2023-04-12 13:03:09,3.9min,dab58851df524d8fb3d4b18859175604,SD0Q1_0-SVM,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,0.0001,False,,,,,,,,None,,,,,,False,0.1,0.001,True,,,,,,0.15,,optimal,,hinge,,,,1000,,,,,,,,,,,,5,-1,,,,,l2,0.5,,,2010,,True,,,0.001,0.1,,0,False,,,0.4427083333333333,0.4272930648769575,0.06367075338407535,0.10240063626400024,0.6401,0.7737,SD0Q1_0,synthetic,svm,dab58851df524d8fb3d4b18859175604,662e,,
2023-04-12 12:59:16,3.9min,a9f468dd921e46d195f66c069986aa55,SD0Q1_0-Naive Bayes,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,3.0791569018898205e-07,,,,0.5,0.6510416666666666,0.3943217665615142,0,0,0.6466,0.7824,SD0Q1_0,synthetic,nb,a9f468dd921e46d195f66c069986aa55,662e,,
2023-04-12 12:55:15,4.0min,f6d6708146974f3c9ef11005c8056c8f,SD0Q1_0-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,euclidean,None,,,,,,,,,-1,1,,,2,,,,,,,,,,,,,,,distance,0.5,0.4153645833333333,0.3841130926334402,0.04732014587247213,0.09252411179482724,0.6759,0.7877,SD0Q1_0,synthetic,knn,f6d6708146974f3c9ef11005c8056c8f,662e,,
2023-04-12 12:51:37,3.6min,cb54d471083e4f97830803fcd0c334cf,SD0Q1_0-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,,,,,,,,,,,None,,,,,False,,,,True,,,,1,,None,,,,,,,,1000,,,,,,,,,,auto,,,None,,,,,l2,,,,2010,,,lbfgs,,0.0001,,,0,False,,0.5742201492537313,0.6419270833333334,0.397781028391545,-0.013552424463469936,-0.04227056134392484,0.6417,0.774,SD0Q1_0,synthetic,lr,cb54d471083e4f97830803fcd0c334cf,662e,,
2023-04-12 12:51:37,30.7min,5c5b7b1c2fa649ce8e3a916dfec6f408,SD0Q1_0-models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SD0Q1_0,synthetic,,5c5b7b1c2fa649ce8e3a916dfec6f408,662e,,
2023-04-12 12:51:34,,ce1569132f82417b9315a15cd51f72a9,Synthetic data models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,synthetic,,ce1569132f82417b9315a15cd51f72a9,,,
2023-04-12 12:39:34,4.4min,ed1ec7c6a3cd4952bdb0ec27d3bf33a5,D0-Gradient Boosting Classifier,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,0.0,,,friedman_mse,,,,,,,,,,None,,,,,0.008362411245629616,,log_loss,8,0.7912425089048225,,,None,,,,7.121935107774745e-07,2,3,0.0,,,175,None,,,,,,,,,,7079,,,,0.219413540262769,0.0001,0.1,,0,False,,0.8265,0.7637,0.6154,0.4501,0.4604,,,D0,original,gbc,ed1ec7c6a3cd4952bdb0ec27d3bf33a5,6832,,
2023-04-12 12:35:28,4.1min,6d8e9354239e4890b873802172e62402,D0-Random Forest,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,True,,,0.0,None,,entropy,,,,,,,,,,,,,,,,,,8,0.627992114689081,,,None,None,,,0.0010735975947314062,5,4,0.0,,,48,,-1,,,False,,,,,,7079,,,,,,,,0,False,,0.8276,0.7735,0.6499,0.485,0.4913,,,D0,original,rf,6d8e9354239e4890b873802172e62402,6832,,
2023-04-12 12:31:03,4.4min,1664905547884adbb612af7c051ca868,D0-Multilayer Perceptron,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,relu,,0.0001,,auto,0.9,0.999,,,,,,,,,,,False,1e-08,,,,"(100,)",,,,,,constant,0.001,,,,15000,500,,,,,,,,,0.9,,,10,,,True,,,,0.5,,,7079,,True,adam,,0.0001,0.1,,False,False,,0.8289,0.7606,0.6375,0.461,0.4663,,,D0,original,mlp,1664905547884adbb612af7c051ca868,6832,,
2023-04-12 12:27:48,3.2min,26b59a179eab4793ba674b0c70886932,D0-SVM-RBF,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,,,,,,,,False,200,,None,0.0,,ovr,3,,,,,,auto,,,,rbf,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,True,7079,True,,,,0.001,,,False,,,0.768,0.7296,0.5901,0.3911,0.3969,,,D0,original,rbfsvm,26b59a179eab4793ba674b0c70886932,6832,,
2023-04-12 12:24:36,3.2min,e78939af5ed049f7b9758a1c8fffb79c,D0-SVM,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,3.811526091099403e-05,False,,,,,,,,None,,,,,,False,0.1,0.11936478200977721,True,,,,,,0.5526648261037299,,adaptive,,hinge,,,,1000,,,,,,,,,,,,5,-1,,,,,l2,0.5,,,7079,,True,,,0.001,0.1,,0,False,,0,0.7638,0.6153,0.4508,0.4624,,,D0,original,svm,e78939af5ed049f7b9758a1c8fffb79c,6832,,
2023-04-12 12:21:19,3.3min,da44158c87d54623aecdeb44fe148fbc,D0-Naive Bayes,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,0.0013446883078216485,,,,0.8082,0.7507,0.6188,0.4355,0.4401,,,D0,original,nb,da44158c87d54623aecdeb44fe148fbc,6832,,
2023-04-12 12:18:00,3.3min,bbd3f813582a4f45892c85d8c5fe61e7,D0-K-Nearest Neighbor,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,manhattan,None,,,,,,,,,-1,19,,,2,,,,,,,,,,,,,,,uniform,0.8098,0.7572,0.5943,0.4282,0.4402,,,D0,original,knn,bbd3f813582a4f45892c85d8c5fe61e7,6832,,
2023-04-12 12:14:36,3.4min,89a756cf8b9045e9990bb4c33e65d17d,D0-Logistic Regression,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,1.0,,,,,,,,,,,,None,,,,,False,,,,True,,,,1,,None,,,,,,,,1000,,,,,,,,,,auto,,,None,,,,,l2,,,,7079,,,lbfgs,,0.0001,,,0,False,,0.8266,0.7655,0.618,0.4549,0.4647,,,D0,original,lr,89a756cf8b9045e9990bb4c33e65d17d,6832,,
2023-04-12 12:14:36,29.3min,7769d800988648e48140383709a27764,Original data models,LOCAL,C:\Users\flore\miniconda3\envs\master\lib\site-packages\ipykernel_launcher.py,flore,FINISHED,,,,,,,,,True,,,0.0,None,,entropy,,,,,,,,,,,,,,,,,,8,0.627992114689081,,,None,None,,,0.0010735975947314062,5,4,0.0,,,48,,-1,,,False,,,,,,7079,,,,,,,,0,False,,0.8276,0.7735,0.6499,0.485,0.4913,,,D0,original,rf,7769d800988648e48140383709a27764,6832,6d8e9354239e4890b873802172e62402,D0-Random Forest
